trial,lang,sentence,masked,repaired,idx1,idx2,orig1,orig2,exact,slotScore,anywhere,ordered,fluency_score,fluency_ok,fluency_reason,gen_ms,rep_ms,judge_ms,judge_model
1,en,"The sun rises slowly over the quiet valley, painting the sky with gentle colors.",The sun rises slowly over the quiet ____ painting the ____ with gentle colors.,The sun rises slowly over the quiet sea painting the horizon with gentle colors.,7,10,"valley,",sky,0,0,0,0,5,true,"Grammatically correct, fluent, and the repaired words fit naturally into the masked blanks.",5671,13397,7252,gpt-oss:20b
2,ko,나는 오늘 아침에 커피를 마시며 책을 읽고 내일 일정을 계획했다.,나는 ____ ____ 커피를 마시며 책을 읽고 내일 일정을 계획했다.,나는 아침에 따뜻한 커피를 마시며 책을 읽고 내일 일정을 계획했다.,1,2,오늘,아침에,0,0,0,0,5,true,문법적으로 맞고 자연스러운 표현,11211,11064,5971,gpt-oss:20b
3,en,"The cat slept on the warm, soft blanket beside the quiet window.","The cat slept on ____ warm, ____ blanket beside the quiet window.","The cat slept on a warm, soft blanket beside the quiet window.",4,6,the,soft,0,1,1,1,5,true,"The repaired sentence is grammatically correct, fluent, and naturally fits the masked blanks.",9864,9645,4668,gpt-oss:20b
4,ko,나는 오늘 아침에 커피를 마시며 책을 읽고 창밖의 풍경을 바라보았다.,나는 오늘 아침에 커피를 ____ 책을 ____ 창밖의 풍경을 바라보았다.,나는 오늘 아침에 커피를 마시며 책을 읽으며 창밖의 풍경을 바라보았다.,4,6,마시며,읽고,0,1,0,0,5,true,"문법적으로 완전하고 자연스러운 표현이며, 빈칸에 ‘마시며’와 ‘읽으며’가 무리 없이 들어가 문장이 매끄럽게 연결됩니다.",13495,8361,6036,gpt-oss:20b
5,en,"The sun rises over the quiet valley, painting the sky with golden light.","The sun rises over the ____ valley, painting ____ sky with golden light.","The sun rises over the rolling valley, painting the sky with golden light.",5,8,quiet,the,0,1,0,0,5,true,"Grammatically correct, fluent, and the repair naturally fits the masked structure.",6003,11079,5076,gpt-oss:20b
6,ko,오늘 아침에 나는 커피 한 잔을 마시며 조용히 책을 읽었다.,오늘 아침에 ____ ____ 한 잔을 마시며 조용히 책을 읽었다.,오늘 아침에 뜨거운 커피 한 잔을 마시며 조용히 책을 읽었다.,2,3,나는,커피,0,1,0,0,5,true,문장이 자연스럽고 빈칸에 ‘뜨거운 커피’가 무리 없이 들어가며 문법적으로도 완전합니다.,14033,13216,5377,gpt-oss:20b
7,en,The cat slept on the warm rug beside the quiet window.,The cat slept on the ____ rug beside ____ quiet window.,The cat slept on the soft rug beside a quiet window.,5,8,warm,the,0,0,0,0,5,true,"The repaired sentence is grammatically correct, fluent, and naturally fits the masked structure.",7469,3280,4290,gpt-oss:20b
8,ko,오늘은 햇살이 밝게 비추며 새들이 노래를 부르고 바람이 살랑살랑 불어와 사람들은 창문을 열고 웃는다.,오늘은 햇살이 밝게 ____ 새들이 노래를 부르고 바람이 살랑살랑 ____ 사람들은 창문을 열고 웃는다.,오늘은 햇살이 밝게 비추고 새들이 노래를 부르고 바람이 살랑살랑 불어 사람들은 창문을 열고 웃는다.,3,9,비추며,불어와,0,0,0,0,5,true,문법적으로 맞고 자연스럽다.,13272,11560,18479,gpt-oss:20b
9,en,The child runs quickly through the bright green field during the warm afternoon.,The child runs quickly through the ____ green ____ during the warm afternoon.,The child runs quickly through the tall green trees during the warm afternoon.,6,8,bright,field,0,0,0,0,5,true,"The repaired sentence is grammatically correct, fluent, and naturally fits the masked structure.",7292,12927,5221,gpt-oss:20b
10,ko,나는 매일 아침 공원에서 산책하며 자연의 소리를 듣는다 그리고 새들의 노래를 들으며 마음이 편안해진다.,나는 매일 아침 ____ 산책하며 자연의 소리를 듣는다 ____ 새들의 노래를 들으며 마음이 편안해진다.,나는 매일 아침 조용히 산책하며 자연의 소리를 듣는다 그리고 새들의 노래를 들으며 마음이 편안해진다.,3,8,공원에서,그리고,0,1,0,0,4,true,문법은 맞고 자연스러우나 쉼표가 없어서 약간 어색,9467,24746,16821,gpt-oss:20b
